,SMILES
2658,CCCC1=CC=CC=C1N
2659,[H][C@](N)(CCOCCN)C(O)=O
2660,CC[C@H](N)CC1=CC=CC=C1
2661,NS(=O)(=O)C1=CC=C(C=C1)\N=NC1=C2C=C(Br)C=CC2=NC1=O
2662,ClC1=CC=C(C=C1)C1=CN=CN1
2663,[H][C@]1(NC(=O)CNC(=O)C2=C(COC)SC(=N2)[C@@H](NC(=O)C2=C(C)SC(=N2)[C@H](CC(=O)NC)NC(=O)C2=CSC(=N2)C2=CC=C(N=C2C2=CSC(=N2)C2=CSC1=N2)C1=NC(=CS1)C1=N[C@@H](CO1)C(=O)N1CCC[C@H]1C(N)=O)C(C)C)[C@@H](O)C1=CC=CC=C1
2664,[H]N1C(=O)C=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@@]3([H])F)[C@@H](O)[C@H]2O)C1=O
2665,[H][C@@](O)(N[C@@]([H])(CC1=CC=CC=C1)[C@]([H])(O)N[C@@]([H])(CC1=CC(C(O)=O)=C(OCC(O)=O)C=C1)[C@@]([H])(O)NCCCCC)OC(C)(C)C
2666,CC(C)[C@H](O)[C@H](N)C(O)=O
2667,CSC(N)=NCCCCCCCCCCCCCC\N=C(/N)SC
2668,[H]N1C(=O)N(C=C(C)C1=O)[C@H]1C[C@H](O)[C@@H](COP(O)(S)=S)O1
2669,[H][C@@](CCCC)(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(O)=O
2670,[H]C(CCC)=C(/[H])C(\[H])=C(/[H])CCCCCCCCCO
2671,OS(=O)(=O)C1=CC=C([Hg])C=C1
2672,COC1=CC2=NC=NC(NC3=CC(SC)=CC=C3)=C2C=C1OC
2673,NC1=NC(=O)C2=C(N1)N=C(I)N2
2674,NS(=O)(=O)C1=CC=C(S1)S(=O)(=O)NCC1=CC=CS1
2675,N[C@@H](CSCC(N)=O)C(O)=O
2676,[H]N=C(CC1=CNC2=CC=CC=C12)C(O)=O
2677,CC(C)COC1=CC=CC(C2=NC3=C(N2)C=C(Cl)C(=C3)C(N)=N)=C1O
2678,CCCCCCCCCCCCCCCC(=O)SCCNC(C)=O
2679,CCSC(N)=NC1=CC=C(C=C1)C(F)(F)F
2680,[H][C@@](O)(CNCP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O
2681,CC1=NC2=C(O1)N=C(N)NC2=O
2682,C[As](C)(O)=O
2683,[NH3+]C1CCCCC1
2684,[H][C@](CS)(CC(C)C)C(O)=O
2685,[H][C@@]12CC[C@](C)(O)[C@@]1(C)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H]
2686,N[C@@H](CN1OC(=O)NC1=O)C(O)=O
2687,[H][C@@](C)(O)CN1C=NC2=C(N)N=CN=C12
2688,CC(=O)O[C@H]1CC(C)(C)C(=C=CC(C)=CC=CC=CC=C(C)C=C2/OC(=O)C(C=C\[C@@]34O[C@]3(C)C[C@@H](O)CC4(C)C)=C2)[C@](C)(O)C1
2689,OC1=CC=C(I)C=C1
2690,[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CS(O)(=O)=O)C(=O)N([H])CC(O)=O)C(O)=O
2691,[H]N([H])[C@@H](CCCC(=O)N([H])[C@@H]1C(=O)N([C@H](C[S@](C)=O)C(O)=O)[C@]1([H])S)C(O)=O
2692,NC1=CC2=C(C=C1)C1=CC=C(N)C=C1C(C1=CC=CC=C1)=[N+]2CCCCCCC1=CN=NN1CCNC1=C2CCCCC2=NC2=C1C=CC=C2
2693,NC1=CC=C(C=C1)[As](O)(O)=O
2694,[H][C@@]1(CCCCCCCC(O)=O)C=CC(=O)[C@]1([H])CC=CCC
2695,[H][C@]1(O)[C@@]([H])(O)[C@]([H])(O)[C@](F)(CO)OC1([H])F
2696,[H]N1C(SCC(=O)N2CCCCC2)=NC(=O)C=C1C(F)(F)F
2697,[H]C(=C(C)[C@]1([H])C[C@]2([H])O[C@]2(C)CCC[C@]([H])(C)[C@]([H])(O)[C@@]([H])(C)C(=O)C(C)(C)[C@@]([H])(O)CC(=O)O1)C1=CSC(C)=N1
2698,[H][C@]1(COP(O)(S)=S)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)C([H])(O)[C@]1([H])O
2699,[H][C@@](CC1=CC=CC=C1)(NS(N)(=O)=O)C(O)=O
2700,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O
2701,[H]N1C=[N+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C2=C1[C@H](O)N=CN2[H]
2702,NC(=N)C1=CC2=C(C=C1)N=C(N2)C1=C(O)C=CC=N1
2703,CCCCCCCCCCCC(O)=O
2704,CC1=CC=C(N)C=C1C
2705,NC1=NC=CC(=N1)C1=C(Cl)SC(Cl)=C1
2706,NC(=O)C1=C[NH+]=CC(=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
2707,[H]C(=C([H])C([H])(C)C([H])(OC(C)=O)[C@]([H])(C)C(=O)CC[C@]([H])(C)[C@]([H])(C[C@]1([H])OC(=O)C[C@@]([H])(O)CCCC(=O)C[C@]([H])(C)C2=COC(=N2)C2=COC(=N2)C2=COC(=N2)C([H])=C([H])C[C@]([H])(OC)[C@@]1([H])C)OC)N(C)CO
2708,[H]N1C2=C(N(CCCOP(O)(O)=O)C(=O)N2C[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)N([H])C1=O
2709,CC(C)(C)N1[NH+]=C(C2=C1N=CN=C2N)C1=CC=C(Cl)C=C1
2710,[H][C@](C)(CC1=CSC(N)=N1)C=O
2711,CCCCC[C@H](O)C=C
2712,ONC(=O)COP(O)(O)=O
2713,OC(=O)C1=NC2=CC=CC=C2N1
2714,CC1=CC=C(CN2C=NC(=C2)C2=CC=CS2)C=C1
2715,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCCCCCNC(=O)C12CC3CC(CC(C3)C1)C2
2716,CCCCCCCCSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
2717,COC1=CC=C(C=C1)S([O-])=O
2718,C[C@@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O
2719,OC1=CC=CC2=C1C(=O)C1=C(O)C=CC(=C1C2=O)[N+]([O-])=O
2720,OC(=O)CC1=C(O)C2=C(C=C1)C(=O)C1=C(C(O)=CC=C1)C2=O
2721,[H]N([H])C1=NC(=O)C2=C(N([H])C=C2CCC2=CC=C(C=C2)C(=O)N([H])[C@@H](CCC2=NN([H])N=N2)C(O)=O)N1[H]
2722,NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC(F)=CC=C1F
2723,OC(=O)CN(CC(O)=O)CC(O)=O
2724,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O
2725,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)C(O)=O
2726,[H][C@](N)(CC1=CNC2=C1C=C[Se]2)C(O)=O
2727,CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C
2728,CC(=O)OCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COC(=O)C(C)(C)C
2729,COC1=CC=C2C=CC(=CC2=C1C1=CN(N=C1)S(C)(=O)=O)C(N)=N
2730,[H]C(C)=C(\[H])CCC([H])=C([H])CCC([H])=C(/[H])CCCCCCC(=O)OC[C@]([H])(COP(O)(=O)OCCN)OC(=O)CCCCCCCC([H])=C(/[H])CC([H])=C(/[H])CCC
2731,OC(=O)CC1=CC(=O)NC(=O)N1
2732,N[C@@H](CS[SeH])C(O)=O
2733,OC(=O)[C@H]1CCCO1
2734,OC(=O)C1=CC=C(OCCN2C=CN=C2)C=C1
2735,NC1(CC1)[P@](O)([O-])=O
2736,BrC(Br)Br
2737,C1CCN(CC1)C1CCNCC1
2738,[H]C(=O)CC([H])=O
2739,NC1=CC=CC=C1CO
2740,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
2741,COC1=CC(C=CC2=C(C)C3=C(N)N=C(N)N=C3N=C2)=C(OC)C=C1
2742,CCCCC[C@H](C)NC=O
2743,CN1C=CN=C1C(=O)C1=C(C)C2=C(O1)C=CC=C2OCCCNCC1=CN=CC=C1
2744,COC1=CC(=CC(OC)=C1OCC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC[C@@H]1CCC2OCOC2C1)C(=O)CCN1C(=O)C2=CC=CC=C2C1=O
2745,CCCCCCCCCCC1=C(O)C(=O)NC1=O
2746,NC(=N)N1C=C2C=CC=C(C2=N1)[N+]([O-])=O
2747,C[C@@H](O)C(O)=O
2748,OC(=O)C1=C(C=C(OC2=C(NC(=O)C3=CC(=CC=C3)[N+]([O-])=O)C=C(NC(=O)C3=CC(=CC=C3)[N+]([O-])=O)C=C2)C=C1)C(O)=O
2749,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC=NC1=O
2750,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
2751,[H]N([H])C(=O)C1=C[Se]C(=N1)[C@]1([H])O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N=CN=C23)N([H])[H])[C@@H](O)[C@H]1O
2752,C[C@H](N)C1=NC(C)=C(O)N1CC(O)=O
2753,CC1=CC=CC2=C1N=C(CCCN1CCC(=CC1)C1=CC=C(F)C=C1)NC2=O
2754,COC1=CC(=CC=C1)C(N)=O
2755,NC1=NC2=C(C(=CN2)C#N)C(=O)N1
2756,OP(O)(=O)N[P@](O)(=O)OP(O)(O)=O
2757,CNC(=O)C1=CC=CC(CN2[C@H](COC3=CC=CC=C3)[C@H](O)[C@@H](O)[C@@H](COC3=CC=CC=C3)N(CC3=CC=CC=C3)S2(=O)=O)=C1
2758,CCCOCCOCCOCCCNC1=C(N)C(=O)C1=O
2759,O[P@@](=O)(OCC1=CC=CC=C1)OC1=C(C=O)C=CC=C1
2760,[H][C@]1(COP(O)(O)=O)O[C@]([H])(N2C=NC3=CC=CC=C23)[C@]([H])(O)[C@]1([H])O
2761,COC1=C(C)C(C)=C(C(C)=C1)S(=O)(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](CC1=CC=C(C=C1)C(N)=N)C(=O)N1CCCCC1
2762,NCC1=CC=C(NC(=O)C2=CC(NC3=NC=CC=N3)=C3C=C(C=CC3=C2)C(N)=N)C=C1
2763,COC1=CC(OC)=C(C=C2C(=O)NC3=CC=CC=C23)C(OC)=C1
2764,CCCN1C(=NC(=C1C1=CC=NC(NC2CC2)=N1)C1=CC=C(Cl)C(Cl)=C1)C1CCN(C)CC1
2765,OCC(O)=O
2766,[H][C@@](N)(CC1CCCCC1)[C@]([H])(O)C(=O)NNC1=CC=C(C)C=C1
2767,CC[C@@H](C)C1=NC=CS1
2768,OC(=O)[C@@H]1CCC(=O)N1
2769,[H][C@@](CCCC)(N1CCN[C@]([H])(CC2=CC=CC=C2)C1=O)C(O)=O
2770,N[C@@H](CCC(O)=O)C(N)=O
2771,[H][C@]1(O)C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O
2772,COC1=CC(CC2=NC3=NC(F)=NC(N)=C3N2)=C(OC)C=C1
2773,[H][C@@](C)(N)[C@@]1([H])N[C@@]([H])(CN)C(=O)N1CC(O)=O
2774,C[N+](C)(C)C
2775,NCCN1CCOCC1
2776,[H]N(CC1=C(O)C(C)=NC=C1COP(O)(O)=O)C1=CON([H])C1=O
2777,C[Se]CC([O-])=O
2778,NC1=C(NC(=O)NC1=O)[N+]([O-])=O
2779,O=N(=O)C1=CC2=NNC=C2C=C1
2780,OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O
2781,OC(=O)C(=O)NC1=C(C(O)=O)C2=C(COCC2)S1
2782,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
2783,CC(=O)NC(=CC1=CC=C(CC(O)=O)C(C=O)=C1)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
2784,N[C@@H](CCCO)C(O)=O
2785,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
2786,NCCC(O)=O
2787,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)C(O)=O
2788,[H]N([C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@H]1O)C(C)=O
2789,OC1=CC=CC=C1Cl
2790,N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(O)=O
2791,[H][C@]12CS[C@@]([H])(CCCCCC(O)=O)[C@@]1([H])NC(=O)N2
2792,[H][C@@](CF)(OP(O)(O)=O)C(O)=O
2793,O[P@@](=O)(OCC1CCCCC1)OC1=C(C=O)C=CC=C1
2794,[H]N(OC[C@@H](O)CO)C(=O)C1=CC(Br)=C(F)C(F)=C1N([H])C1=C(F)C=C(I)C=C1
2795,[H][C@]1(CC(=C[C@@]([H])(OP(O)(O)=O)[C@@]1([H])O)C(O)=O)O[C@@](C)(OP(O)(O)=O)C(O)=O
2796,[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSC[C@H](C)C(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
2797,OC(=CC(=O)C1=CNC2=CC=C(Cl)C=C12)C1=NN=NN1
2798,CC1=CC=C(C=C1)S(O)(=O)=O
2799,COC1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(C)=C2CC(O)=O
2800,[H][C@@](CC(O)=O)(NC(=O)C1=CC=C(CNS(=O)(=O)C2=CC(C(O)=O)=C(O)C=C2)C=C1)C(C)=O
2801,COC1=CC(CC2=C[NH+]=C(N)N=C2N)=CC(OC)=C1OC
2802,[H][C@@]1(C[C@]([H])(OC(=O)C2=CC=CC=C2NC)[C@@]([H])(COP(O)(=O)OP(O)(O)=O)O1)N1C=NC2=C(N)N=CN=C12
2803,NC(=[NH2+])C1=CC=CC=C1
2804,CC(=O)OCC[N+](C)(C)C
2805,[H]N([H])C(N([H])[H])=[N+]([H])CCCOB1OCCO1
2806,[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSC(O)OCC1=CC=C(C=C1)[N+]([O-])=O)C(=O)N([H])CC(O)=O)C(O)=O
2807,OS(=O)(=O)CCCSC1=NC2=C(S1)C=CC=C2
2808,[H][C@]1(CO)O[C@@]([H])(C2=NC3=C(N2)C=C(C)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
2809,N[C@@H](CCCCC(O)=O)C(O)=O
2810,ON(CCP(O)(O)=O)C=O
2811,NC(=[NH2+])C1=CC2=C(S1)C=CC=C2I
2812,COC1=CC(CC2=NC3=C(N)N=C(F)N=C3N2CCCC#C)=C(OC)C=C1
2813,[O-][Cl](=O)(=O)=O
2814,[H][C@@]1(CCCCC(=O)NCCCCCC(O)=O)SC[C@]2([H])NC(=O)N[C@]12[H]
2815,OB(O)C1=CC=C(C=C1)C(O)=O
2816,O[C@@H]1CN(N(CC2=CC=C(O)C=C2)C(=O)N(CC2=CC=C(O)C=C2)[C@@H]1CC1=CC=CC=C1)S(=O)(=O)C1=CC(=CC=C1)C#N
2817,OC[C@@H]1O[C@@H](O)[C@H](O)[C@H]1O
2818,CCCCCCCCCO
2819,N[C@@H](CCCNC(=N)NO)C(O)=O
2820,CC1=C(CCOP(O)(O)=O)SC=N1
2821,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2[NH+]=CN=C3SP(O)(O)=O)[C@]([H])(O)[C@]1([H])O
2822,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2
2823,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)CP(O)(O)=O)[C@@H](O)[C@H]1O
2824,CC1=CN([C@H]2CC[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
2825,[Cu]12[Cu]3[Cu]4[Cu]1S234
2826,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OCCCCCCCC
2827,OC1=NC=NC2=C1N=NC2
2828,OP(O)(=O)C(F)(F)C1=CC2=CC(=CC=C2C=C1)C(F)(F)P(O)(O)=O
2829,[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@]2([H])F)C1=O
2830,O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
2831,[H][C@@](CC1=CC=C(OS(=O)(=O)C2=CC=CC3=C2C=CC=C3N(C)C)C=C1)(NS(=O)(=O)C1=CC=CC2=C1C=CC=C2N(C)C)C(O)=O
2832,O[C@H]1[C@@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1OP(O)(O)=O
2833,NC(=[NH2+])C1=CC=C2NC(=CC2=C1)C1=CC=CC(=C1[O-])C1=CC=CC=C1
2834,[H][C@@](C)(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(=O)CCCCCC(O)=O
2835,[H]N1C(=O)N(C=C(C)C1=O)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O1
2836,OC(=O)C1=NSN=C1O
2837,CC(=O)CSCCS(O)(=O)=O
2838,[H]N([H])C1=[N+](C)C=NC2=C1N([H])C=N2
2839,CN(C)CCO[P@](O)(=O)OP(O)(O)=O
2840,CC(O)=O
2841,OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br
2842,[H]N([H])C(=O)C1=C(C=C[N+](=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N=CN=C23)N([H])[H])[C@@H](O)[C@H]1O)[C@@H]1CCCCC1=O
2843,[H][C@](O)(C([O-])=NCCC([O-])=NCCSC(=O)C[C@@](C)(O)CC([O-])=O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP([O-])([O-])=O
2844,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS
2845,OP(O)(=O)OCCCC1=CNC2=C1C=CC=C2
2846,NC1=NC=NC2=C1C=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
2847,NC(=[NH2+])C1=CC=C2NC(=CC2=C1)C1=CC=CC(OC2CCCC2)=C1[O-]
2848,OP(O)(=O)CC=O
2849,CCCO
2850,CC(C)C1=CC(OC2=C(Cl)C=C(CC(O)=O)C=C2Cl)=CC=C1O
2851,CC1=CC2=C(C=C1)N=CN2
2852,[H]N([H])C1=NC(=O)C2=C(N1[H])N(C=N2)[C@@H]1O[C@H](CO)[C@@]2([H])O[P@](O)(=S)O[C@@]12[H]
2853,COC1=CC(C=CC(=O)SCCNC(=O)CCNC(=O)C2(O)[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@@H](O)[C@@H]3OP(O)(O)=O)N3C=NC4=C(N)N=CN=C34)C2(C)C)=CC(OC)=C1O
2854,CC1=CC(N)=C(N)C=C1C
2855,CC(C)C1=CC(OC2=C(C)C=C(C=C2C)N2N=CC(=O)NC2=O)=CC=C1O
2856,[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CC[C@@H](F)C(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
2857,CCOC(=O)C1=C(C)N(N=C1C)C1=CC=C(N)C=C1
2858,[H][C@]1(N)C[C@@]([H])(C)[C@@]([H])(N1)C(O)=O
2859,[H][C@]1(CO)O[C@@]([H])(N2C=CC=CNC2=O)[C@]([H])(O)[C@]1([H])O
2860,[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]4C[C@@H](O[C@@H]4COP(O)(O)=O)N4C=CC(=O)N([H])C4=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
2861,[H][C@](CCCCC(O)=O)(CCSCN)SSCCO
2862,[Cu].C1CNCCNCCCNCCNC1
2863,[H][C@]1(COC(=O)CCCCCCC)O[C@@](CO)(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@@]([H])(O)[C@]1([H])O
2864,[H][C@](N)(C[C@@]1([H])CO1)C(O)=O
2865,CCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
2866,CCCCCCCCCCCCCCCCCC(O)=O
2867,CO[C@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O
2868,CC1=CN([C@H]2C[C@H](F)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
2869,[H][C@@]1(CO)O[C@@]([H])(OC2=CC=C(C=C2)[N+]([O-])=O)[C@]([H])(O)[C@@]1([H])O
2870,NC1=NC(=O)C2=NC(CO)=CN=C2N1
2871,[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(S[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]3([H])O[C@]([H])(CO)[C@@]([H])(S[C@@]4([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]5([H])O[C@]([H])(CO)[C@@]([H])(S[C@@]6([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]6([H])O)[C@]([H])(O)[C@@]5([H])O)[C@]([H])(O)[C@@]4([H])O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O
2872,[H][C@@]1(C[C@]([H])(N(C)C)[C@]([H])(O)[C@]([H])(C)O1)O[C@@]1([H])C[C@](O)(CC)[C@]([H])(C(=O)OC)C2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1OC)C3=O
2873,[H][C@]1(COP(O)(O)=O)O[C@]([H])(N2C=NC3=NC=NC=C23)[C@]([H])(O)[C@]1([H])O
2874,N[C@H](CS)C(O)=O
2875,[H][C@](NC(=O)CN1C(=O)C(NS(C)(=O)=O)=CN=C1C1=CC=C(N)C=C1)(C(C)C)C(=O)C(F)(F)F
2876,[H]C(CCCCCCCCCCCCC)=C(\[H])[C@@]([H])(O)[C@@]([H])(N)CO
2877,CC1=NC=C(CN)C(N)=N1
2878,OC(=O)C1=CC2=C(N1)C1=C(N=C(C=C1C(O)=O)C(O)=O)C(=O)C2=O
2879,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O
2880,[H][C@@]1(CC2=C(CN1S(=O)(=O)C1=CC=C(C=C1)C1=CC=CC=C1)C=CC=C2)C(O)=O
2881,[H][C@@]1(COC(=O)C2=CC(O)=C(O)C(O)=C2)O[C@@]([H])(OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@@]([H])(OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@@]([H])(OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@]1([H])OC(=O)C1=CC(O)=C(O)C(O)=C1
2882,OC(=O)C1=NC(=O)NC(=O)N1
2883,NC1=CC=C(CCC(O)=O)C=C1
2884,OP(O)(=O)CCC(=C)C=O
2885,[H][C@](O)(C[C@]([H])(O)[C@@]([H])(O)C([O-])=O)C([O-])=O
2886,NC(=N)C1=CC2=C(C=C1)N=C(N2)C(=O)C1=NC2=C(N1)C=CC(=C2)C([NH3+])=[NH2+]
2887,N[C@@H](C=C)C(O)=O
2888,[H][C@@]1(CC(O)=O)CC[C@]([H])(N1)C(O)=O
2889,NC1=NC=NC2=C1N=CN2[C@@H]1C=C[C@H](O)[C@H]1O
2890,[H][C@@](O)(C1=CC=CC2=CC=CC=C12)P(O)(O)=O
2891,CC(=O)NC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
2892,[H][C@]1(O)C[C@]([H])(O[C@]2([H])[C@]([H])(C)O[C@]([H])(C[C@]2([H])N(C)C)O[C@@]2([H])C[C@](O)(CC)[C@]([H])(O)C3=C2C(O)=C2C(=O)C4=C(C=CC=C4O)C(=O)C2=C3)O[C@@]([H])(C)[C@]1([H])O[C@@]1([H])CCC(=O)[C@@]([H])(C)O1
2893,C[C@H](O)[C@@H](CCC1=C2C=CC=CC2=CC=C1)N1C=NC(=C1)C(N)=O
2894,CN[C@@H]1CN(C2=CC(OC)=CC=C2)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
2895,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
2896,C[N+](C)(C)[C@@H](CCC1=NC(C[C@H](N)C(O)=O)=CN1)C(N)=O
2897,[Fe+4].[H]C(O)=C1C(C)=C2[N-]C/1=C([H])C1=C(C)[C@@]([H])(C=C)C([N-]1)=C([H])C1=C(C)C(CCC(O)=O)=C([N-]1)C([H])=C1/[N-]C(=C\2/[H])C(C)=C1CCC(O)=O
2898,N[C@H](CC1=CNC2=CC=CC=C12)C(O)=O
2899,OCC(F)(F)F
2900,NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]1O
2901,NC(=O)C1=C(C=C(C(=C1)N(CCCl)CCCl)[N+]([O-])=O)[N+]([O-])=O
2902,CC(C)CC(=O)C(O)=O
2903,[H][C@]1(COP(O)(=O)OCCC)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
2904,[H]N([H])C1=NC(=O)C2=NN(N([H])C2=N1)C1=CC=CC(=C1)C(=O)N([H])CC1=CC=CC=C1SC1=CC=CC=C1CO
2905,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=CC=CC=C1O
2906,[H]N([H])[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=C(C)C(=O)N([H])C1=O
2907,CN(CC=C)CC1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(Br)C=C1
